timestamp,mote_id,has_fault_type,temperature
2007-09-21 09:50:00,'7',0,5.82
2007-09-21 09:52:00,'7',0,6.06
2007-09-21 09:54:00,'7',0,6.24
2007-09-21 09:56:00,'7',0,6.42
2007-09-21 09:58:00,'7',0,6.61
2007-09-21 10:00:00,'7',0,6.9
2007-09-21 10:02:00,'7',0,6.94
2007-09-21 10:04:00,'7',0,7.2
2007-09-21 10:06:00,'7',0,6.88
2007-09-21 10:08:00,'7',0,6.93
2007-09-21 10:10:00,'7',0,7.14
2007-09-21 10:12:00,'7',0,7.28
2007-09-21 10:14:00,'7',0,7.1
2007-09-21 10:16:00,'7',0,7.42
2007-09-21 10:18:00,'7',0,7.11
2007-09-21 10:20:00,'7',0,7.46
2007-09-21 10:22:00,'7',0,7.61
2007-09-21 10:24:00,'7',0,7.25
2007-09-21 10:26:00,'7',0,7.12
2007-09-21 10:28:00,'7',0,7.34
2007-09-21 10:30:00,'7',0,7.24
2007-09-21 10:32:00,'7',0,7.2
2007-09-21 10:34:00,'7',0,7.28
2007-09-21 10:36:00,'7',0,7.48
2007-09-21 10:38:00,'7',0,7.5
2007-09-21 10:40:00,'7',0,7.51
2007-09-21 10:42:00,'7',0,7.52
2007-09-21 10:44:00,'7',0,7.44
2007-09-21 10:46:00,'7',0,7.47
2007-09-21 10:48:00,'7',0,7.56
2007-09-21 10:50:00,'7',0,7.74
2007-09-21 10:52:00,'7',0,7.57
2007-09-21 10:54:00,'7',0,7.73
2007-09-21 10:56:00,'7',0,7.74
2007-09-21 10:58:00,'7',0,7.93
2007-09-21 11:00:00,'7',0,7.87
2007-09-21 11:02:00,'7',0,7.87
2007-09-21 11:04:00,'7',0,7.68
2007-09-21 11:06:00,'7',0,8.16
2007-09-21 11:08:00,'7',0,8.26
2007-09-21 11:10:00,'7',0,8.02
2007-09-21 11:12:00,'7',0,7.9
2007-09-21 11:14:00,'7',0,7.94
2007-09-21 11:16:00,'7',0,7.91
2007-09-21 11:18:00,'7',0,8.04
2007-09-21 11:20:00,'7',0,8.12
2007-09-21 11:22:00,'7',0,8.09
2007-09-21 11:24:00,'7',0,8.14
2007-09-21 11:26:00,'7',0,8.23
2007-09-21 11:28:00,'7',0,8.2
2007-09-21 11:30:00,'7',0,8.38
2007-09-21 11:32:00,'7',0,8.24
2007-09-21 11:34:00,'7',0,8.25
